Santi Aldama,MEM,23,61,1618,0.9,1.1,1.7,0.3,0,7.7
Scotty Pippen Jr.,MEM,23,21,527,0.1,0.2,4.9,0.5,0.2,2.9
Shaquille Harrison,MEM,30,3,6,6,0,6,0,0,12
Timmy Allen,MEM,24,5,125,1.2,0,1.7,0,0,3.2
Trey Jemison,MEM,24,25,574,1.5,4,1.8,0.4,0,11.6
Vince Williams Jr.,MEM,23,52,1437,0.5,0.2,3,0.4,0.1,4.3
Wenyen Gabriel,MEM,27,5,81,1.8,1.8,2.7,0.4,0,8
Yuta Watanabe,MEM,29,34,464,0.8,0.4,1.4,0.4,0.1,6.9
Zavier Simpson,MEM,27,7,161,0.2,0,2.5,0.7,0,4.9
Ziaire Williams,MEM,22,51,1038,0.6,0.3,2.7,0.3,0.1,6.2
Alondes Williams,MIA,25,7,16,0,0,0,0,0,2.3
Bam Adebayo,MIA,26,71,2416,3,3.6,2.3,0.4,0,7.1
Caleb Martin,MIA,28,64,1757,0.6,0.6,1.8,0.3,0.2,4.6
Cole Swider,MIA,25,18,87,0,0.4,0.8,0.4,0,6.6
Delon Wright,MIA,32,47,742,0.3,0.5,3.9,0.6,0,3.9
Dru Smith,MIA,26,9,131,0.3,0,6.6,0,0,7.1
Duncan Robinson,MIA,30,68,1906,0.5,0.7,1.8,0.4,0.1,4.2
Haywood Highsmith,MIA,27,66,1366,0.5,0.5,2.9,0.5,0,8.5
Jaime Jaquez Jr.,MIA,23,75,2113,0.8,0.4,2.4,0.4,0,6
Jamal Cain,MIA,25,26,259,0.4,1,2.8,0.1,0,5.4
Jimmy Butler,MIA,34,60,2042,0.4,0.8,2.4,0.5,0,3.4
Josh Richardson,MIA,30,43,1103,0.3,0.5,2,0.4,0,4.5
Kevin Love,MIA,35,55,924,2.4,1.7,1.6,0.2,0.4,4.8
Nikola Jović,MIA,21,46,896,0.5,1.1,1.8,0.2,0.1,7
Orlando Robinson,MIA,23,36,304,2.1,5,1.9,0.2,0,10.9
Patty Mills,MIA,35,32,415,0.4,0.9,2.2,0.8,0.3,2.3
R.J. Hampton,MIA,23,8,76,0.5,0,1.4,0.5,0,3.8
Terry Rozier,MIA,30,61,2040,0.2,0.4,1.6,0.5,0.1,4
Thomas Bryant,MIA,26,38,441,2.9,4,1.3,0.2,0,9.7
Tyler Herro,MIA,24,42,1407,0.2,0.3,1.3,0.5,0,4
AJ Green,MIL,24,56,614,0.5,0.4,1.6,0.6,0.2,4.2
Andre Jackson Jr.,MIL,22,57,572,1.2,1.3,2.3,0.6,0.1,4.9
Bobby Portis,MIL,29,82,2008,0.9,2.1,2.4,0.4,0,7.2
Brook Lopez,MIL,36,79,2411,1.8,3.6,1.6,0.3,0,18.4
Chris Livingston,MIL,20,21,91,0,0.8,1.6,0.4,0,3.2
Damian Lillard,MIL,33,73,2578,0.2,0.1,2.5,0.4,0.1,2.7
Danilo Gallinari,MIL,35,49,629,1.7,3.5,1.7,0.4,0.1,6.2
Giannis Antetokounmpo,MIL,29,73,2567,0.5,2.1,2.2,0.4,0,6.6
Jae Crowder,MIL,33,50,1156,0.4,0.4,2.3,0.5,0,3.9
Khris Middleton,MIL,32,55,1487,0.7,0.3,2.4,0.4,0.1,4.3
Lindell Wigginton,MIL,26,3,8,0,0,9,0,0,13.5
Malik Beasley,MIL,27,79,2337,0.2,0.3,1.7,0.3,0,3.5
MarJon Beauchamp,MIL,23,48,608,0.5,0.1,2.1,0.4,0.1,4.5
Pat Connaughton,MIL,31,76,1676,0.4,0.5,1.4,0.5,0,6.3
Patrick Beverley,MIL,35,73,1463,0.1,0.5,2.3,0.5,0.1,4.1
Robin Lopez,MIL,36,16,65,4.4,10,1.7,0,0,17.2
Ryan Rollins,MIL,21,13,78,0,0,8.3,0.9,0,5.5
Thanasis Antetokounmpo,MIL,31,34,155,0.2,2.1,3.9,0.7,0,6.3
TyTy Washington Jr.,MIL,22,11,56,1.3,0,1.9,1.3,0,5.8
Anthony Edwards,MIN,22,79,2770,0.2,0.2,2.1,0.5,0,3.1
Daishen Nix,MIN,22,15,50,0,0,4.3,1.4,0,2.2
Jaden McDaniels,MIN,23,72,2105,0.4,0.2,2.4,0.4,0,6.4
Jordan McLaughlin,MIN,28,56,626,0.5,0.6,3.8,0.7,0.1,3.6
Josh Minott,MIN,21,32,91,0.4,0.8,5.9,0.8,0,9.9
Justin Jackson,MIN,29,2,1,0,0,0,0,0,0
Karl-Anthony Towns,MIN,28,62,2026,1.1,1.1,1.5,0.4,0,8.2
Kyle Anderson,MIN,30,79,1782,0.5,1.2,3.2,0.2,0,5.8
Leonard Miller,MIN,20,17,52,1.4,0,3.5,0,0,4.2
Luka Garza,MIN,25,25,122,2.1,3.8,2.1,0,1.5,9.7
Mike Conley,MIN,36,76,2193,0.2,0.3,2.8,0.4,0,3.2
Monté Morris,MIN,29,33,476,0.3,0.2,2.3,0.5,0.1,2.9
Naz Reid,MIN,24,81,1964,1.1,1,1.9,0.3,0,8
Nickeil Alexander-Walker,MIN,25,82,1921,0.7,0.4,2.9,0.4,0.1,4.5
Rudy Gobert,MIN,32,76,2593,2,5,1.7,0.2,0,11.6
T.J. Warren,MIN,30,11,125,0.3,0,2,0.6,0,2.9
Wendell Moore Jr.,MIN,22,25,75,0,0,5.3,0.5,0,4.8
Brandon Ingram,NOP,26,64,2103,0.3,0.5,1.7,0.3,0,5.8
CJ McCollum,NOP,32,66,2159,0.5,0.3,1.6,0.5,0,5.3
Cody Zeller,NOP,31,43,320,3.3,7,2.1,0.6,0.6,10.2
Dereon Seabron,NOP,24,6,55,0.7,0,1.3,0,0,6.5
